西班牙國家航空610號班機空難,1985年2月19日,0,7,,波音727
飛箭航空1285號班機空難,1985年12月12日,0,8,,
日本航空123號班機空難,1985年8月12日,4,15,4,波音747SR-46
東方航空980號班機空難,1985年1月1日,0,10,,波音727-225
中華航空006號班機事故,2019年2月8日,2,23,,波音747SP
英國空旅航空28M號班機空難,2010年7月10日,,6,,波音737-200
印度航空182號班機空難,1985年6月10日,0,22,,波音747-237B
達美航空191號班機空難,1985年8月2日,27,11,,
埃及航空648號班機劫機事件,2010年11月23日,,28,,波音737-266
苏联民航7425号班机空难,1985年7月10日,0,9,,
中國民航5109號班機空難,1985年1月18日,3,7,3,
苏联民航6502号班机空难,2016年2月3日,24,7,,
中華航空334號班機劫機事件,1986年5月3日,3,,,波音747-2R7F
斯里兰卡航空512号班机爆炸事件,1983年11月11日,41,20,,
泛美航空73號班機劫機事件,1986年9月5日,120,19,,波音747
中華航空2265號班機空難,1986年2月16日,0,7,,波音737
苏联民航2306号班机空难,1986年7月2日,38,6,,
墨西哥國際航空498號班機空難,1986年8月31日,,,,
苏联民航892号班机空难,2016年3月6日,9,,,
挑战者号航天飞机灾难,1986年1月28日,,,,
日本航空1628號班機事件,1986年11月17日,,,,波音747-246F
泰國國際航空620號班機爆炸事件,1986年10月26日,,14,,空客A300
环球航空840号班机爆炸事件,1986年4月2日,,,,波音727-231
伊拉克航空163號班機空難,2017年11月1日,,15,,波音737-270C
墨西哥航空940號班機空難,1986年3月31日,0,8,,波音727-264
美國大陸航空1713號班機空難,1987年11月15日,28,5,,
LOT波蘭航空5055號班機空難,1987年5月9日,0,11,,波音767
大韩航空858号班机空难,2014年6月28日,0,11,,波音707
太平洋西南航空1771號班機空難,1987年12月7日,0,5,,
南非航空295號班機空難,1987年11月28日,0,19,,波音747-244BM
西北航空255號班機空難,2015年12月13日,154,6,,麦道-82
洛克比空難,2016年11月17日,0,16,,波音747-121
阿羅哈航空243號班機事故,1988年4月28日,65,6,,波音737-297
