Aircraft Type,Manufactor,Register number,Airline,Delivered date,Status
Fokker F100,Fokker,D-AOLI,OLT Express Germany,4-Nov-11,Stored
Fokker F100,Fokker,PH-OFH,KLM Cityhopper,1 Feb 2004(23 Aug 2003),Scrapped
Fokker F100,Fokker,5N-CEP,IRS Airlines,9-Mar-04,Stored
Fokker F100,Fokker,PH-OFB,KLM Cityhopper,8-May-03,Preserved
Fokker F100,Fokker,ZS-ERJ,AirQuarius,8-Feb-11,Stored
Fokker F100,Fokker,VH-XWN,Alliance Airlines,11-Oct-10,Active
Fokker F100,Fokker,5N-SIL,IRS Airlines,13-May-10,Stored
Fokker F100,Fokker,EP-ATD,Iran Aseman Airlines,22-Jan-11,Active
Fokker F100,Fokker,PH-OFC,KLM Cityhopper,23 Sep 2003(21 Apr 2003),Scrapped
Fokker F100,Fokker,UP-F1017,Bek Air,Apr-18,Stored
Fokker F100,Fokker,EP-IDD,Iran Air,31-May-90,Written Off
Fokker F100,Fokker,PH-OFI,KLM Cityhopper,26 May 2003(28 Dec 2002),Scrapped
Fokker F100,Fokker,5N-COP,IRS Airlines,16-Jan-05,Written Off
Fokker F100,Fokker,PH-OFK,KLM Cityhopper,29-Mar-03,Scrapped
Fokker F100,Fokker,UP-F1018,Bek Air,Jun-18,Active
Fokker F100,Fokker,4O-AOM,Montenegro Airlines,Nov 2008(28 Dec 2000),Stored
Fokker F100,Fokker,VH-XWO,Alliance Airlines,23-Aug-10,Active
Fokker F100,Fokker,PK-PJO,Pelita Air Service,30-Jun-90,Stored
Fokker F100,Fokker,EP-IDG,Iran Air,29-Jan-91,Active
Fokker F100,Fokker,PH-OFL,KLM Cityhopper,22-Sep-02,Scrapped
Fokker F100,Fokker,PH-OFE,KLM Cityhopper,16-Dec-02,Scrapped
Fokker F100,Fokker,PH-KLE,KLM Cityhopper,25-Mar-03,Scrapped
Fokker F100,Fokker,PH-OFJ,KLM Cityhopper,27 Jun 2003(23 Jan 2003),Scrapped
Fokker F100,Fokker,N858US,US Airways,26-Sep-96,Scrapped
Fokker F100,Fokker,EP-IDC,Iran Air,12-Oct-90,Written Off
Fokker F100,Fokker,VH-XWR,Alliance Airlines,27-May-10,Active
Fokker F100,Fokker,LZ-FDC,ALK Airlines,Sep-16,Stored
Fokker F100,Fokker,HP-1896PSU,Air Panama,2-Nov-15,Active
Fokker F100,Fokker,EP-LCS,Kish Air,25-Sep-12,Active
Fokker F100,Fokker,YR-FKB,Carpatair,18 Dec 2008(10 Sep 2006),Active
Fokker F100,Fokker,4O-AOU,Montenegro Airlines,28 Dec 2007(15 Sep 2004),Stored
Fokker F100,Fokker,C-GKZI,Jetsgo,20-May-05,Scrapped
Fokker F100,Fokker,PR-OAE,Avianca Brasil,17-Sep-09,Stored
Fokker F100,Fokker,VH-FKM,Alliance Airlines,28-Apr-07,Scrapped
Fokker F100,Fokker,HP-1894PSU,Air Panama,4-May-15,Active
Fokker F100,Fokker,P2-ANI,Air Niugini,6-Nov-07,Active
Fokker F100,Fokker,F-GNLI,Blue Line,25-Aug-02,Scrapped
Fokker F100,Fokker,4O-AON,Montenegro Airlines,Apr 2008(19 Jun 2002),Active
Fokker F100,Fokker,LZ-EFB,ALK Airlines,Jul-16,Stored
Fokker F100,Fokker,P2-ANG,Air Niugini,31-Oct-06,Active
Fokker F100,Fokker,VH-UQO,Alliance Airlines,11-Jul-18,Active
Fokker F100,Fokker,UP-F1003,Caspiy,21-Oct-11,Stored
Fokker F100,Fokker,F-GKHE,Brit Air,10-Sep-03,Scrapped
Fokker F100,Fokker,VH-FSX,Virgin Australia Regional,6-Oct-13,Active
Fokker F100,Fokker,EP-IDH,Iran Air,Apr 2010( 3 Oct 1990),Stored
Fokker F100,Fokker,VH-NHP,QantasLink,21-Jan-16,Active
Fokker F100,Fokker,UP-F1015,Bek Air,14 Sep 2017(30 May 2014),Active
Fokker F100,Fokker,4O-AOQ,Montenegro Airlines,27 Feb 2008(22 Apr 2003),Active
Fokker F100,Fokker,F-GMPH,Régional,23-Jan-06,Written Off
Fokker F100,Fokker,VH-FKK,Alliance Airlines,30-Apr-07,Active
Fokker F100,Fokker,N898US,US Airways,22-Jun-97,Scrapped
Fokker F100,Fokker,VH-FZI,Virgin Australia Regional,1-Oct-14,Active
Fokker F100,Fokker,LZ-FDE,ALK Airlines,21-May-16,Stored
Fokker F100,Fokker,EP-ATF,Iran Aseman Airlines,7-Jun-10,Active
Fokker F100,Fokker,VH-FZJ,Virgin Australia Regional,10-Aug-14,Active
Fokker F100,Fokker,EP-CFM,Iran Air,7-Dec-05,Stored
Fokker F100,Fokker,F-GNLH,Blue Line,10-May-03,Scrapped
Fokker F100,Fokker,VH-FNV,Virgin Australia Regional,27-Oct-13,Active
Fokker F100,Fokker,EP-CFS,Iran Air,5-Oct-07,Active
Fokker F100,Fokker,PH-KXM,Palair Macedonia,18-Dec-92,Written Off
Fokker F100,Fokker,VH-XWT,Alliance Airlines,5-Feb-11,Active
Fokker F100,Fokker,HB-JVI,Helvetic Airways,13-Aug-10,Stored
Fokker F100,Fokker,VH-FND,Virgin Australia Regional,2-Jul-13,Active
Fokker F100,Fokker,-,Phoenix Aero Solutions,23-Apr-11,Scrapped
Fokker F100,Fokker,HP-1764PSU,Air Panama,12-Apr-12,Active
Fokker F100,Fokker,UP-F1002,Caspiy,8-Oct-10,Stored
Fokker F100,Fokker,EP-CFN,Iran Air,15-Nov-06,Stored
Fokker F100,Fokker,VH-FZP,Virgin Australia Regional,6-Oct-13,Active
Fokker F100,Fokker,HP-1763PSU,Air Panama,13-Jul-12,Active
Fokker F100,Fokker,HB-JVJ,Helvetic Airways,5-Sep-10,Scrapped
Fokker F100,Fokker,EP-ASO,Iran Aseman Airlines,10-May-18,Stored
Fokker F100,Fokker,VH-FKB,Alliance Airlines,27-May-05,Active
Fokker F100,Fokker,VH-FKG,Alliance Airlines,11-Jan-05,Active
Fokker F100,Fokker,UP-F1004,Caspiy,26-Dec-11,Stored
Fokker F100,Fokker,N1416K,American Airlines,26-May-92,Scrapped
Fokker F100,Fokker,YR-FZB,Carpatair,Aug-15,Active
Fokker F100,Fokker,VH-XWS,Alliance Airlines,10-Mar-10,Active
Fokker F100,Fokker,VH-FWI,Virgin Australia Regional,12-Apr-15,Active
Fokker F100,Fokker,VH-FNO,Virgin Australia Regional,3-Nov-13,Active
Fokker F100,Fokker,9A-BTG,SunAdria Airlines,26-Sep-11,Scrapped
Fokker F100,Fokker,N887US,US Airways,13-Sep-96,Scrapped
Fokker F100,Fokker,VH-FKH,Alliance Airlines,22-Aug-05,Active
Fokker F100,Fokker,HK-4489,Avianca,10-Feb-07,Scrapped
Fokker F100,Fokker,F-GKHF,Brit Air,21-Sep-04,Scrapped
Fokker F100,Fokker,PH-ZFQ,Fokker Services,11-Jul-05,Scrapped
Fokker F100,Fokker,5Y-SIB,Ocean Airlines,1-Oct-16,Active
Fokker F100,Fokker,CS-TPE,Portugália,25-Nov-91,Stored
Fokker F100,Fokker,HP-,Air Panama,Due,Planned
Fokker F100,Fokker,XY-AGD,Air Bagan,Mar 2009(27 Apr 2005),Written Off
Fokker F100,Fokker,LZ-FDD,ALK Airlines,Dec-15,Stored
Fokker F100,Fokker,UP-F1009,Caspiy,25-Jul-13,Active
Fokker F100,Fokker,VH-FKE,Alliance Airlines,14-May-05,Active
Fokker F100,Fokker,VH-UQX,Alliance Airlines,8-Oct-16,Active
Fokker F100,Fokker,HK-4490,Avianca,19-Oct-06,Scrapped
Fokker F100,Fokker,EP-ATE,Iran Aseman Airlines,15-Jun-10,Stored
Fokker F100,Fokker,OE-LVL,Austrian Airlines,27-Oct-12,Scrapped
Fokker F100,Fokker,D-AGPI,Avanti Air,15-Mar-16,Active
Fokker F100,Fokker,VH-FWJ,Virgin Australia Regional,16-Jan-16,Active
Fokker F100,Fokker,PK-RJJ,Premiair,9-Jul-05,Stored
Fokker F100,Fokker,VH-XWU,Alliance Airlines,10-Sep-10,Active
Fokker F100,Fokker,VH-FKF,Alliance Airlines,23 Mar 2007(16 Dec 2004),Written Off
Fokker F100,Fokker,OM-BYD,Slovak Government Flight Service,23-Oct-16,Active
Fokker F100,Fokker,EP-ASK,Iran Aseman Airlines,18-Apr-03,Stored
Fokker F100,Fokker,EP-ASL,Iran Aseman Airlines,9-Feb-04,Stored
Fokker F100,Fokker,VH-NHG,Network Aviation,8-Feb-08,Scrapped
Fokker F100,Fokker,XA-SHK,MexicanaClick,12-Mar-09,Written Off
Fokker F100,Fokker,EP-ATH,Iran Aseman Airlines,13-Jul-10,Active
Fokker F100,Fokker,VH-FKD,Alliance Airlines,9 May 2008(26 Jul 2004),Active
Fokker F100,Fokker,OE-LVK,Austrian Airlines,18-Jun-12,Stored
Fokker F100,Fokker,VH-,Alliance Airlines,Due,Planned
Fokker F100,Fokker,YR-FKC,Carpatair,Apr 2007( 5 Jun 2005),Active
Fokker F100,Fokker,VH-FKL,Alliance Airlines,4-Feb-08,Active
Fokker F100,Fokker,EP-CFP,Iran Air,5-Mar-07,Stored
Fokker F100,Fokker,VH-NHQ,QantasLink,30-Mar-15,Active
Fokker F100,Fokker,HP-1895PSU,Air Panama,22-Apr-15,Active
Fokker F100,Fokker,VH-XKN,Skippers Aviation,8-Jun-13,Active
Fokker F100,Fokker,VH-XKO,Skippers Aviation,25-Mar-13,Active
Fokker F100,Fokker,EP-ASV,Iran Aseman Airlines,Nov-08,Active
Fokker F100,Fokker,PT-MRL,TAM Linhas Aéreas,27-Aug-93,Written Off
Fokker F100,Fokker,VH-FSR,Virgin Australia Regional,27-Jul-13,Active
Fokker F100,Fokker,VH-UQE,Alliance Airlines,13-Jul-17,Active
Fokker F100,Fokker,UP-F1010,Bek Air,14 Jul 2017(13 Dec 2013),Active
Fokker F100,Fokker,N1461A,American Airlines,28-Jul-93,Scrapped
Fokker F100,Fokker,VH-NHB,QantasLink,6-Feb-16,Active
Fokker F100,Fokker,EP-ATC,Iran Aseman Airlines,1-Nov-07,Stored
Fokker F100,Fokker,PR-OAU,Avianca Brasil,25-Jun-10,Stored
Fokker F100,Fokker,EP-ATA,Iran Aseman Airlines,12-Feb-08,Written Off
Fokker F100,Fokker,EP-ASY,Iran Aseman Airlines,10-May-07,Stored
Fokker F100,Fokker,PT-MRM,TAM Linhas Aéreas,25-Dec-93,Preserved
Fokker F100,Fokker,P2-ANR,Air Niugini,24-May-08,Active
Fokker F100,Fokker,VH-FNU,Virgin Australia Regional,4-Mar-13,Active
Fokker F100,Fokker,P2-AND,Air Niugini,13-Jul-06,Active
Fokker F100,Fokker,VH-NHD,QantasLink,6-May-15,Active
Fokker F100,Fokker,PH-FSR,Fokker Services,16-Apr-10,Scrapped
Fokker F100,Fokker,N1420D,American Airlines,27-Dec-92,Written Off
Fokker F100,Fokker,PR-OAH,Avianca Brasil,25-Aug-10,Stored
Fokker F100,Fokker,EP-CFF,Iran Air,Sep-04,Stored
Fokker F100,Fokker,EP-ASM,Iran Aseman Airlines,Jun-03,Written Off
Fokker F100,Fokker,EP-CFE,Iran Air,Jan-04,Stored
Fokker F100,Fokker,D-AOLH,Avanti Air,25-Oct-14,Active
Fokker F100,Fokker,EP-FQH,Qeshm Airlines,20-Dec-12,Active
Fokker F100,Fokker,P2-ANK,Air Niugini,26-Sep-13,Active
Fokker F100,Fokker,VH-NHW,QantasLink,18-Jan-15,Active
Fokker F100,Fokker,EP-LCR,Kish Air,27-Nov-12,Active
Fokker F100,Fokker,OM-BYC,Slovak Government Flight Service,22-Jul-16,Active
Fokker F100,Fokker,EP-CFO,Iran Air,Jun-07,Scrapped
Fokker F100,Fokker,EP-ASN,Iran Aseman Airlines,10 Jul 2006(17 Mar 2004),Stored
Fokker F100,Fokker,EP-CFI,Iran Air,2-Oct-04,Stored
Fokker F100,Fokker,PK-MJB,Merpati,15-Mar-93,Stored
Fokker F100,Fokker,PK-MJD,Merpati,19-Mar-94,Stored
Fokker F100,Fokker,P2-ANE,Air Niugini,23-Feb-06,Active
Fokker F100,Fokker,VH-UQC,Alliance Airlines,18-May-18,Active
Fokker F100,Fokker,PH-ABX,SAMCO Aircraft Maintenance,29-Jul-17,Stored
Fokker F100,Fokker,VH-UQZ,Alliance Airlines,18-Feb-17,Scrapped
Fokker F100,Fokker,HK-4487,Avianca,8-Nov-06,Scrapped
Fokker F100,Fokker,TR-LGR,Nouvelle Air Affaires Gabon,22-Mar-04,Stored
Fokker F100,Fokker,C-GKZY,Jetsgo,20-May-04,Scrapped
Fokker F100,Fokker,EP-FQG,Qeshm Airlines,1-Jul-13,Active
Fokker F100,Fokker,EP-ASP,Iran Aseman Airlines,6-Jun-04,Stored
Fokker F100,Fokker,VH-NHK,QantasLink,25-Sep-15,Active
Fokker F100,Fokker,PK-MJE,Merpati,3-May-94,Stored
Fokker F100,Fokker,VH-FNZ,Virgin Australia Regional,30-Dec-12,Active
Fokker F100,Fokker,VH-FXG,Alliance Airlines,31-Jan-17,Scrapped
Fokker F100,Fokker,PR-OAT,Avianca Brasil,19-May-10,Stored
Fokker F100,Fokker,PR-OAG,Avianca Brasil,12-Jan-10,Stored
Fokker F100,Fokker,PR-OAL,Avianca Brasil,18-Apr-10,Stored
Fokker F100,Fokker,UP-F1005,Bek Air,Nov-11,Active
Fokker F100,Fokker,F-GIOL,Air Liberté,20-Oct-97,Scrapped
Fokker F100,Fokker,VH-NHL,QantasLink,29-Jul-15,Active
Fokker F100,Fokker,EP-FQJ,Qeshm Airlines,19-Sep-13,Active
Fokker F100,Fokker,9N-AHH,Cosmic Air,14-Aug-04,Preserved
Fokker F100,Fokker,4L-GNO,Crossline,12-Apr-17,Active
Fokker F100,Fokker,VH-VIG,Alliance Airlines,4-Dec-17,Stored
Fokker F100,Fokker,9A-BTF,Trade Air,16 Nov 2016(11 Jan 2015),Active
Fokker F100,Fokker,UP-F1013,Bek Air,22-Mar-16,Stored
Fokker F100,Fokker,VH-FGC,Alliance Airlines,Jul 2018(21 Jan 2018),Active
Fokker F100,Fokker,VH-UQG,Alliance Airlines,10-Apr-18,Active
Fokker F100,Fokker,HB-JVG,Helvetic Airways,13-Oct-04,Active
Fokker F100,Fokker,EP-ATG,Iran Aseman Airlines,7-Mar-11,Active
Fokker F100,Fokker,PK-PGA,Pelita Air Service,12-Aug-02,Stored
Fokker F100,Fokker,UP-F1008,Bek Air,27 Oct 2017(29 Nov 2013),Active
Fokker F100,Fokker,9A-BTE,Trade Air,28-Jan-15,Active
Fokker F100,Fokker,5B-DDE,Tus Airways,7-Dec-17,Active
Fokker F100,Fokker,5B-DDF,Tus Airways,19-Nov-17,Active
Fokker F100,Fokker,C-GKZX,Jetsgo,21-Jun-04,Scrapped
Fokker F100,Fokker,N1445N,American Airlines,22-Aug-93,Scrapped
Fokker F100,Fokker,VH-NQF,QantasLink,30-May-15,Active
Fokker F100,Fokker,VH-NHZ,QantasLink,24-Feb-15,Active
Fokker F100,Fokker,EP-FQK,Qeshm Airlines,Jun-13,Active
Fokker F100,Fokker,EP-SUT,Karun Airlines,20-Aug-17,Active
Fokker F100,Fokker,EP-AXA,Karun Airlines,30-Jun-18,Active
Fokker F100,Fokker,C-GKZN,Jetsgo,25-May-04,Scrapped
Fokker F100,Fokker,EP-ASH,Iran Aseman Airlines,31-Mar-03,Stored
Fokker F100,Fokker,N1446B,American Airlines,30-Jul-93,Scrapped
Fokker F100,Fokker,VH-NHG,QantasLink,17-Oct-15,Active
Fokker F100,Fokker,VH-UQD,Alliance Airlines,4-Feb-18,Active
Fokker F100,Fokker,HB-JVH,Helvetic Airways,8-Mar-04,Active
Fokker F100,Fokker,VH-FNS,Virgin Australia Regional,27-Aug-13,Active
Fokker F100,Fokker,5N-HIS,IRS Airlines,8-May-09,Stored
Fokker F100,Fokker,EP-CFQ,Iran Air,5-Nov-07,Stored
Fokker F100,Fokker,PH-AQF,Fokker Services,Apr-13,Scrapped
Fokker F100,Fokker,EP-CFR,Iran Air,30-Oct-07,Stored
Fokker F100,Fokker,EP-ASI,Iran Aseman Airlines,9-Sep-03,Stored
Fokker F100,Fokker,VH-NHN,QantasLink,18-Apr-15,Active
Fokker F100,Fokker,HB-JVF,Helvetic Airways,9-Mar-04,Stored
Fokker F100,Fokker,VH-NHO,QantasLink,21-Sep-15,Active
Fokker F100,Fokker,VH-NHJ,QantasLink,27-Feb-15,Active
Fokker F100,Fokker,VH-FNK,Virgin Australia Regional,6-Nov-12,Active
Fokker F100,Fokker,VH-UQB,Alliance Airlines,28-Sep-17,Active
Fokker F100,Fokker,UP-F1006,Bek Air,30 Jan 2017( 4 Oct 2012),Active
Fokker F100,Fokker,OE-LVH,Austrian Airlines,25-Oct-12,Stored
Fokker F100,Fokker,VH-,Alliance Airlines,Due,Planned
Fokker F70,Fokker,OB-2153-P,Wayraperú,8-Dec-17,Active
Fokker F70,Fokker,-,Fokker,,Not Built
Fokker F70,Fokker,OE-LFQ,Austrian Airlines,30 Apr 2012(17 Aug 1995),Stored
Fokker F70,Fokker,VH-,Alliance Airlines,Due,Planned
Fokker F70,Fokker,PZ-TFC,Fly All Ways,5-Jan-15,Active
Fokker F70,Fokker,P2-ANT,Air Niugini,25-May-15,Active
Fokker F100,Fokker,HB-JVD,Helvetic Airways,10-Sep-03,Stored
Fokker F100,Fokker,EP-CFJ,Iran Air,Nov-05,Stored
Fokker F70,Fokker,VH-JFC,Alliance Airlines,14-Dec-12,Active
Fokker F100,Fokker,-,Fokker,,Not Built
Fokker F70,Fokker,PH-KZU,KLM Cityhopper,21-Nov-08,Scrapped
Fokker F70,Fokker,P2-ANZ,Air Niugini,Dec-17,Active
Fokker F70,Fokker,5B-DDC,Tus Airways,21-Jun-17,Active
Fokker F70,Fokker,VH-QQY,Alliance Airlines,13-Aug-11,Active
Fokker F70,Fokker,5Y-JWG,Jetways Airlines,1-May-18,Stored
Fokker F100,Fokker,VH-NPV,QantasLink,24-Jun-16,Active
Fokker F100,Fokker,PT-MQI,TAM Linhas Aéreas,Mar-98,Written Off
Fokker F100,Fokker,EP-ASS,Iran Aseman Airlines,30-Jun-04,Stored
Fokker F70,Fokker,VH-NUV,Alliance Airlines,26-Dec-18,Stored
Fokker F70,Fokker,-,Fokker,,Not Built
Fokker F70,Fokker,-,Fokker,,Not Built
Fokker F70,Fokker,5B-DDG,Tus Airways,17-May-18,Active
Fokker F70,Fokker,VH-NKR,Alliance Airlines,27-Mar-16,Active
Fokker F70,Fokker,PJ-,JetAir Caribbean,Due,Planned
Fokker F100,Fokker,EP-MIT,Karun Airlines,21-Jun-17,Active
Fokker F100,Fokker,EP-ASR,Iran Aseman Airlines,May-04,Active
Fokker F100,Fokker,EP-ASU,Iran Aseman Airlines,14-Jan-05,Active
Fokker F100,Fokker,-,Fokker,,Not Built
Fokker F70,Fokker,5B-DDH,Tus Airways,8-Dec-17,Active
Fokker F70,Fokker,P4-FKE,InselAir Aruba,25-Apr-16,Stored
Fokker F70,Fokker,P2-AOA,Air Niugini,16-Jan-18,Stored
Fokker F70,Fokker,VH-NLA,Alliance Airlines,19-Mar-14,Stored
Fokker F70,Fokker,5B-DDJ,Tus Airways,14-Dec-18,Active
Fokker F100,Fokker,EP-ASQ,Iran Aseman Airlines,25-Sep-04,Stored
Fokker F100,Fokker,VH-NHH,QantasLink,23-Mar-15,Active
Fokker F100,Fokker,-,Fokker,,Not Built
Fokker F70,Fokker,-,Fokker,,Not Built
Fokker F70,Fokker,VH-NUW,Alliance Airlines,6-Sep-18,Stored
Fokker F70,Fokker,VH-QQS,Alliance Airlines,13-Jan-13,Active
Fokker F70,Fokker,P2-ANW,Air Niugini,19-Dec-15,Active
Fokker F100,Fokker,D-AOLI,Avanti Air,Nov-18,Active
Fokker F100,Fokker,VH-NIA,QantasLink,9-Feb-17,Active
Fokker F100,Fokker,-,Fokker,,Not Built
Fokker F70,Fokker,VH-JFF,Alliance Airlines,1-Oct-12,Active
Fokker F70,Fokker,VH-NKV,Alliance Airlines,12-Jun-15,Active
Fokker F70,Fokker,VH-QQW,Alliance Airlines,22-Apr-13,Active
Fokker F70,Fokker,VH-QQZ,Alliance Airlines,4-Nov-11,Active
Fokker F70,Fokker,PK-TNS,TransNusa,24-Sep-14,Stored
Fokker F70,Fokker,PJ-,JetAir Caribbean,Due,Planned
Fokker F100,Fokker,VH-NHR,QantasLink,19-Mar-15,Active
Fokker F100,Fokker,EP-CFK,Iran Air,Jun-05,Stored
Fokker F70,Fokker,5B-DDB,Tus Airways,3-Apr-18,Active
Fokker F70,Fokker,-,Fokker,,Not Built
Fokker F70,Fokker,PZ-TFB,Fly All Ways,7-Nov-14,Active
Fokker F70,Fokker,2,Myanmar Air Force,19-Sep-17,Active
Fokker F70,Fokker,3,Myanmar Air Force,26-Apr-17,Active
Fokker F100,Fokker,N1472G,American Airlines,23-Dec-93,Scrapped
Fokker F100,Fokker,UP-F1012,Bek Air,14-Oct-14,Active
Fokker F100,Fokker,UP-F1011,Bek Air,26 Sep 2016(30 Mar 2015),Active
Fokker F70,Fokker,P4-FKC,InselAir Aruba,9-Dec-14,Stored
Fokker F70,Fokker,VH-KBY,Alliance Airlines,7-Dec-17,Active
Fokker F70,Fokker,KAF309,Kenya Air Force,13-Aug-95,Active
Fokker F70,Fokker,P2-ANB,Air Niugini,29-May-17,Stored
Fokker F70,Fokker,P2-ANU,Air Niugini,7-May-16,Active
Fokker F100,Fokker,EP-CFL,Iran Air,Feb-06,Stored
Fokker F70,Fokker,P2-ANV,Air Niugini,28-Jun-16,Active
Fokker F70,Fokker,PH-KZX,KLM Cityhopper,16-Dec-08,Scrapped
Fokker F70,Fokker,VH-NVA,Alliance Airlines,9-Mar-18,Stored
Fokker F70,Fokker,P2-ANS,Air Niugini,22-Sep-14,Active
Fokker F100,Fokker,EP-OPJ,Karun Airlines,18-Nov-17,Active
Fokker F100,Fokker,EP-ASJ,Iran Aseman Airlines,15-Sep-03,Active
Fokker F70,Fokker,OE-LFJ,Austrian Airlines,21-Dec-12,Stored
Fokker F70,Fokker,VH-NUP,Alliance Airlines,Due,Planned
Fokker F70,Fokker,OB-2156-P,Wayraperú,23-Jun-18,Stored
Fokker F70,Fokker,VH-NKI,Alliance Airlines,31-Oct-14,Scrapped
Fokker F70,Fokker,VH-QQX,Alliance Airlines,30-Aug-13,Active
Fokker F70,Fokker,PZ-TFD,Fly All Ways,27-Nov-18,Stored
Fokker F70,Fokker,PK-JGN,Sempati Air,,Not Built
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,C-GCFK,Nav Canada,23-Aug-96,Active
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,ZS-DHD,Cemair,30-Oct-14,Active
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,N913HA,Piedmont Airlines,20-Feb-93,Scrapped
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,6Y-JEE,Air Jamaica Express,21-Nov-01,Scrapped
De Havilland Canada DHC-8-103 Dash 8,De-Havilland-Canada,C-GZJD,Air Creebec,14-Apr-14,Active
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,N808LR,Freedom Airlines,22-Apr-06,Scrapped
De Havilland Canada CT-142 Dash 8 (DHC-8-102),De-Havilland-Canada,142805,Canadian Armed Forces,10-Nov-89,Active
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,C-GONE,Jazz Air,24-Jun-06,Stored
De Havilland Canada DHC-8-300 Dash 8,De-Havilland-Canada,C-GDNL,de Havilland Canada,11-Sep-83,Scrapped
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,N908HA,Piedmont Airlines,21-May-93,Scrapped
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,P2-MCL,PNG Air,30-Sep-15,Active
De Havilland Canada DHC-8-103 Dash 8,De-Havilland-Canada,N512AV,Presidential Airways (PAW),5-Feb-10,Active
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,N820PH,Horizon Air,16-Mar-87,Written Off
De Havilland Canada CT-142 Dash 8 (DHC-8-102),De-Havilland-Canada,142804,Canadian Armed Forces,14-Jul-90,Active
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,C-GJML,Air Canada Jazz,20-Dec-01,Scrapped
De Havilland Canada DHC-8-200 Dash 8,De-Havilland-Canada,C-GGMQ,Bombardier,11-Mar-99,Preserved
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,P2-MCI,PNG Air,22-Jan-16,Active
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,N911HA,Piedmont Airlines,27-Dec-92,Scrapped
De Havilland Canada DHC-8-103 Dash 8,De-Havilland-Canada,N810WP,Island Air,15 Apr 2004( 1 Jan 2004),Scrapped
De Havilland Canada DHC-8-102(PF) Dash 8,De-Havilland-Canada,C-GANG,Wasaya Airways,12-Apr-17,Active
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,VH-XFU,Skippers Aviation,5-Dec-98,Active
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,5Y-DHD,748 Air Services,2012,Active
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,N917HA,Piedmont Airlines,30-Apr-93,Scrapped
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,N842PH,CC AIR,Aug-98,Scrapped
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,C-FABB,Wasaya Airways,1-Aug-17,Active
De Havilland Canada DHC-8-103 Dash 8,De-Havilland-Canada,N635AR,EP Aviation,9-Apr-13,Stored
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,C-GASC,Summit Air,21-Apr-13,Active
De Havilland Canada DHC-8-103 Dash 8,De-Havilland-Canada,N808WP,Island Air,18-Sep-00,Scrapped
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,P2-MCQ,PNG Air,26-Nov-15,Active
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,6Y-JED,Air Jamaica Express,26-Jun-01,Scrapped
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,N915HA,Piedmont Airlines,31-Dec-92,Stored
De Havilland Canada DHC-8-103 Dash 8,De-Havilland-Canada,HK-4346,Aires,17-Jul-04,Stored
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,N809LR,Freedom Airlines,12-Aug-06,Scrapped
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,C-FYDI,Central Mountain Air,4-Apr-18,Active
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,N807LR,Freedom Airlines,9-Dec-06,Scrapped
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,VH-QQC,Skytrans Airlines,20 Sep 2015(Nov 2007),Active
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,VH-QQG,Skytrans Airlines,Apr-07,Active
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,N8101V,US Army,6 Jan 2014(2011),Active
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,N912HA,Piedmont Airlines,23-Jan-93,Scrapped
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,C-FABO,Jazz Air,22-May-06,Stored
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,S2-ADK,GMG Airlines,May-03,Scrapped
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,C-GANJ,Jazz Air,21-Nov-05,Stored
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,N921HA,Piedmont Airlines,29-Jan-93,Scrapped
De Havilland Canada DHC-8-102 Dash 8,De-Havilland-Canada,VH-QQB,Skytrans Airlines,19 Nov 2015(Oct 2007),Scrapped
