Aircraft Type,Manufactor,Register number,Airline,Delivered date,Status
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N361LF,ILFC,5 Jul 2011(Feb 1990),Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N709MD,GECAS,11-Feb-09,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N883GA,Allegiant Air,9-Oct-06,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9420D,International Air Capital Inc,18-Aug-14,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EP-ZAQ,Zagros Air,11-Nov-11,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N881GA,Allegiant Air,6-Oct-06,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,HI-977,PAWA Dominicana,14-May-15,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N940AS,GA Telesis,2-Apr-12,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N892GA,Allegiant Air,14-May-07,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EP-ZAK,Zagros Air,2014(Oct 2013),Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,YV481T,SBA Airlines,12-Oct-10,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,SU-BME,Air Leisure,Jun-14,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,OE-LRW,MAP Jet,14-Aug-06,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,PJ-MDI,Insel Air,Sep-17,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,LV-BEG,Andes Líneas Aéreas,27-Jun-17,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,YV539T,Aserca Airlines,1-Mar-13,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,UR-CJU,UM Air - Ukrainian-Mediterranean Airlines,28-Oct-15,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EI-CRE,Meridiana Fly,28-Feb-10,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N632CT,Avianca,15-Mar-01,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N832NK,Spirit Airlines,9-Oct-03,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N941AS,American Airlines,2-Dec-01,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,LV-WGM,Andes Líneas Aéreas,Nov-13,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,YA-KMD,Kam Air,Jan-12,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,HI992,PAWA Dominicana,2-Mar-16,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N860GA,Allegiant Air,21-Oct-02,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,PK-WIK,Wings Air,Feb-08,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N789BV,Dugan Kinetics,1-Jun-04,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,S2-AEU,United Airways,29-Jun-09,Stored
McDonnell Douglas MD-83(SF) (DC-9-83),McDonnell-Douglas,N831US,USA Jet Airlines,4 Oct 2010( 9 Mar 2010),Active
